Player,Club,League,Group,Goals/90,Assists/90,(Goals+Assists)/90,Non-Penalty Goals/90,(Non-Penalty Goals + Assists)/90,Expected Goals/90,Expected Assists/90,(Expected Goals + Expected Assists)/90,Non-Penalty Expected Goals/90,(Non-Penalty Expected Goals + Expected Assists)/90,Progressive Carries,Progressive Passes,Progressive Passes Received
Yunis Abdelhamid,Saint-Étienne,Ligue 1,Defender,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,4,22,3
Himad Abdelli,Angers,Ligue 1,Midfielder,0.19,0.03,0.22,0.1,0.13,0.2,0.1,0.3,0.1,0.2,107,207,111
Ali Abdi,Nice,Ligue 1,Defender,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.4,0.28,0.4,35,42,101
Matthis Abline,Nantes,Ligue 1,Attacker,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37,75,48,169
Abner,Lyon,Ligue 1,Defender,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,31,66,55
Zakaria Aboukhlal,Toulouse,Ligue 1,Midfielder,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,34,22,164
Abdel Abqar,Alavés,La Liga,Defender,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,16,79,4
Tammy Abraham,Milan,Serie A,Attacker,0.23,0.3,0.53,0.15,0.46,0.54,0.16,0.7,0.41,0.58,8,26,69
Francesco Acerbi,Inter,Serie A,Defender,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.05,0.02,0.05,19,62,22
Akor Adams,Montpellier,Ligue 1,Attacker,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,11,6,45
Tyler Adams,Bournemouth,Premier League,Midfielder,0.0,0.14,0.14,0.0,0.14,0.07,0.05,0.12,0.07,0.12,14,76,10
Che Adams,Torino,Serie A,Attacker,0.31,0.1,0.41,0.31,0.41,0.31,0.07,0.37,0.28,0.35,23,40,153
Junior Adamu,Freiburg,Bundesliga,Attacker,0.12,0.12,0.23,0.12,0.23,0.32,0.14,0.46,0.32,0.46,8,14,84
Tosin Adarabioyo,Chelsea,Premier League,Defender,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,5,42,1
Karim Adeyemi,Dortmund,Bundesliga,Attacker,0.44,0.38,0.82,0.44,0.82,0.34,0.38,0.72,0.34,0.72,68,28,153
Simon Adingra,Brighton,Premier League,Attacker,0.16,0.16,0.33,0.16,0.33,0.2,0.2,0.4,0.2,0.4,50,18,136
Yacine Adli,Fiorentina,Serie A,Midfielder,0.29,0.44,0.73,0.29,0.73,0.08,0.17,0.25,0.08,0.25,24,103,30
Michel Ndary Adopo,Cagliari,Serie A,Midfielder,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.13,0.04,0.13,20,106,61
Oladapo Afolayan,St. Pauli,Bundesliga,Attacker,0.16,0.05,0.22,0.16,0.22,0.17,0.21,0.38,0.17,0.38,53,32,108
Emmanuel Agbadou,Wolves,Premier League,Defender,0.06,0.0,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,6,31,2
Lucien Agoume,Sevilla,La Liga,Midfielder,0.04,0.13,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14,29,135,23
Felix Agu,Werder Bremen,Bundesliga,Defender,0.15,0.0,0.15,0.15,0.15,0.07,0.09,0.17,0.07,0.17,33,43,105
Nayef Aguerd,Real Sociedad,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.13,0.12,0.13,26,75,1
Ruben Aguilar,Lens,Ligue 1,Defender,0.08,0.16,0.24,0.08,0.24,0.06,0.15,0.21,0.06,0.21,32,74,101
Jean-Eudes Aholou,Angers,Ligue 1,Midfielder,0.09,0.0,0.09,0.09,0.09,0.08,0.05,0.13,0.08,0.13,15,68,16
Ola Aina,Nott'ham Forest,Premier League,Defender,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,67,107,67
Kristoffer Ajer,Brentford,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,27,56,44
Ludovic Ajorque,Brest,Ligue 1,Attacker,0.47,0.07,0.54,0.47,0.54,0.38,0.11,0.49,0.35,0.46,10,41,124
Manuel Akanji,Manchester City,Premier League,Defender,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,46,158,7
Sergio Akieme,Reims,Ligue 1,Defender,0.07,0.11,0.18,0.07,0.18,0.05,0.09,0.14,0.05,0.14,55,86,97
Maghnes Akliouche,Monaco,Ligue 1,Attacker,0.19,0.37,0.56,0.15,0.52,0.35,0.27,0.62,0.32,0.59,127,173,226
Clément Akpa,Auxerre,Ligue 1,Defender,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.04,0.01,0.04,27,74,24
Jean-Daniel Akpa-Akpro,Monza,Serie A,Midfielder,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,21,19,22
Kevin Akpoguma,Hoffenheim,Bundesliga,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,14,98,16
Musa Al-Taamari,Montpellier,Ligue 1,Attacker,0.16,0.08,0.24,0.16,0.24,0.21,0.12,0.33,0.21,0.33,55,30,76
Raúl Albiol,Villarreal,La Liga,Defender,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,3,34,0
Omar Alderete,Getafe,La Liga,Defender,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,25,112,7
Trent Alexander-Arnold,Liverpool,Premier League,Defender,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,51,232,94
Carles Aleñá,Alavés,La Liga,Midfielder,0.0,0.17,0.17,0.0,0.17,0.06,0.11,0.17,0.06,0.17,18,58,43
Alfon,Celta Vigo,La Liga,Attacker,0.33,0.13,0.46,0.33,0.46,0.3,0.17,0.47,0.3,0.47,89,22,170
